,name,set,lon,lat,lonr_max,lonr_min,latr_max,latr_min,lonb_COP_max,lonb_COP_min,latb_COP_max,latb_COP_min,lonb_MOD_max,lonb_MOD_min,latb_MOD_max,latb_MOD_min
Site02,Site02,2017.0,113.17407,51.82407,113.19196428504284,113.14732143004284,51.843749998934975,51.79910714393498,113.18005952395224,113.16517857395225,51.831845236911164,51.81696428691117,113.17499999002804,113.17083332302805,51.8249999955241,51.820833328524095
Site05,Site05,2017.0,113.14448999999999,51.79773,113.16517857075706,113.12053571575706,51.816964284649266,51.772321429649274,113.1532738096664,113.13839285966641,51.805059522625456,51.790178572625464,113.14583332336399,113.141666656364,51.79999999552634,51.795833328526335
Site08,Site08,2017.0,112.42138999999999,52.0775,112.44196428504182,112.39732143004181,52.10267857036349,52.058035715363495,112.43005952394883,112.41517857394884,52.0848214273873,52.069940477387306,112.42499999009523,112.42083332309524,52.079166662168,52.07499999516799
Site09,Site09,2017.0,112.49216000000001,52.04379,112.51339285647049,112.46875000147048,52.06696428464921,52.02232142964922,112.49851190490152,112.48363095490153,52.05208333214921,52.03720238214922,112.49583332342222,112.49166665642223,52.04583332883765,52.041666661837645
Site13,Site13,2017.0,113.4734,50.76357,113.49553571361463,113.45089285861462,50.790178570363786,50.74553571536379,113.48065476204884,113.46577381204885,50.772321427387595,50.757440477387604,113.47499999000117,113.47083332300117,50.76666666228558,50.76249999528557
Site14,Site14,2017.0,113.66161000000001,50.690940000000005,113.68303571361491,113.6383928586149,50.70982142750666,50.66517857250667,113.6681547620497,113.6532738120497,50.69791666548285,50.68303571548286,113.66249998998437,113.65833332298438,50.6916666622923,50.68749999529229
Site15,Site15,2017.0,113.67698999999999,50.69936,113.70089285647208,113.65625000147207,50.71874999893523,50.67410714393524,113.68303571443072,113.66815476443072,50.70684523691142,50.69196428691143,113.67916665664954,113.67499998964955,50.699999995624886,50.69583332862488
Site18,Site18,2017.0,113.75581000000001,51.422940000000004,113.7812499993293,113.7366071443293,51.44196428464935,51.39732142964936,113.76339285728822,113.74851190728823,51.43005952262554,51.41517857262555,113.75833332330912,113.75416665630912,51.424999995559936,51.42083332855993
Site19,Site19,2017.0,113.55487,52.149429999999995,113.57589285647191,113.5312500014719,52.17410714179204,52.12946428679205,113.56101190490635,113.54613095490636,52.15624999881585,52.14136904881586,113.55833332332703,113.55416665632704,52.14999999549499,52.14583332849498
Site21,Site21,2017.0,113.78546999999999,51.8032,113.80803571361508,113.76339285861508,51.825892856077836,51.781250001077844,113.79315476205026,113.77827381205027,51.811011903577835,51.796130953577844,113.78749998997317,113.78333332297318,51.804166662192635,51.79999999519263
Site22,Site22,2017.0,113.77681000000001,51.81608,113.79910714218653,113.75446428718652,51.834821427506405,51.79017857250641,113.78422619062165,113.76934524062166,51.822916665482595,51.8080357154826,113.77916665664058,113.77499998964059,51.816666662191516,51.81249999519151
Site25,Site25,2017.0,112.29165,51.4453,112.31696428504159,112.27232143004159,51.46874999893506,51.42410714393507,112.29910714299585,112.28422619299586,51.45386904643506,51.43898809643507,112.29166665677384,112.28749998977385,51.4458333288914,51.4416666618914
Site26,Site26,2017.0,112.27673,51.437540000000006,112.29910714218448,112.25446428718448,51.45982142750649,51.4151785725065,112.28422619061483,112.26934524061484,51.44494047500649,51.4300595250065,112.27916665677496,112.27499998977497,51.44166666222511,51.4374999952251
Site30,Site30,2017.0,111.37938999999999,50.97824,111.39732142789751,111.3526785728975,51.00446428464945,50.95982142964946,111.38541666680122,111.37053571680123,50.98660714167326,50.97172619167327,111.38333332352188,111.37916665652189,50.97916666226654,50.974999995266536
Site38,Site38,2017.0,110.59996000000001,51.327909999999996,110.62053571361076,110.57589285861076,51.35267857036366,51.308035715363665,110.60863095251197,110.59375000251198,51.33482142738747,51.319940477387476,110.59999999025872,110.59583332325873,51.32916666223519,51.32499999523518
Site41,Site41,2017.0,109.23388999999999,51.233779999999996,109.25446428503744,109.20982143003744,51.254464284649394,51.2098214296494,109.24255952393433,109.22767857393434,51.242559522625584,51.22767857262559,109.23749999038078,109.23333332338079,51.237499995576734,51.23333332857673
Site42,Site42,2017.0,109.20078000000001,51.22337,109.21874999932311,109.1741071443231,51.245535713220825,51.20089285822083,109.20684523821988,109.19196428821989,51.230654760720824,51.21577381072083,109.20416665705044,109.19999999005044,51.22499999557785,51.22083332857785
Site47,Site47,2017.0,108.65841,51.705529999999996,108.68303571360809,108.63839285860809,51.72767857036357,51.68303571536358,108.66517857155075,108.65029762155076,51.71279761786357,51.69791666786358,108.6624999904323,108.6583333234323,51.70833332886789,51.70416666186788
Site49,Site49,2017.0,107.64348999999999,51.8935,107.66517857074956,107.62053571574955,51.91517857036353,51.87053571536354,107.65029761916519,107.6354166691652,51.90029761786353,51.88541666786354,107.6458333238567,107.64166665685671,51.89583332885109,51.89166666185108
Site50,Site50,2017.0,107.64416999999999,51.91373,107.66517857074956,107.62053571574955,51.93303571322067,51.888392858220676,107.65029761916519,107.6354166691652,51.92113095119686,51.90625000119687,107.6458333238567,107.64166665685671,51.91666666218256,51.91249999518255
Site51,Site51,2017.0,107.68571000000001,51.881240000000005,107.70982142789245,107.66517857289244,51.90624999893496,51.86160714393497,107.69196428583204,107.67708333583205,51.88839285595877,51.87351190595878,107.68749999051964,107.68333332351965,51.88333332885221,51.8791666618522
Site54,Site54,2017.0,110.00671000000001,52.117940000000004,110.03124999932419,109.98660714432418,52.138392856077765,52.09375000107777,110.01339285727117,109.99851190727118,52.126488094053954,52.11160714405396,110.00833332364506,110.00416665664507,52.12083332883093,52.116666661830926
Site55,Site55,2017.0,110.00513000000001,52.09956,110.03124999932419,109.98660714432418,52.120535713220626,52.075892858220634,110.01339285727117,109.99851190727118,52.105654760720626,52.090773810720634,110.00833332364506,110.00416665664507,52.099999995499466,52.09583332849946
Site57,Site57,2017.0,109.95036,52.28836,109.96874999932413,109.92410714432413,52.30803571322058,52.26339285822059,109.9568452382233,109.9419642882233,52.29613095119677,52.28125000119678,109.95416665698325,109.94999998998325,52.29166666214896,52.287499995148956
Site60,Site60,2017.0,107.62495,52.1679,107.6473214278924,107.60267857289239,52.19196428464918,52.14732142964919,107.63244047630796,107.61755952630797,52.17410714167299,52.159226191673,107.62499999052524,107.62083332352525,52.170833328826454,52.16666666182645
Site63,Site63,2017.0,108.397,51.81009,108.41517857075058,108.37053571575058,51.834821427506405,51.79017857250641,108.4032738096448,108.38839285964481,51.816964284530215,51.802083334530224,108.39999999045581,108.39583332345582,51.81249999552522,51.808333328525215
